FECHA_CORTE;ANIO;COD_DPTO;NOM_DPTO;NOM_MUSEO;COD_MES;NOM_MES;COD_TIPO;NOM_TIPO;ADU_BOLESPPAGANTES;EST_BOLESPPAGANTES;NIN_BOLESPPAGANTES;MIL_BOLESPPAGANTES;ADM_BOLESPPAGANTES;ADU_PAGANTES;EST_PAGANTES;NIN_PAGANTES;TOTAL_PAGANTES;ADU_BOLESPNOPAGANTES;EST_BOLESPNOPAGANTES;NIN_BOLESPNOPAGANTES;MIL_BOLESPNOPAGANTES;ADM_BOLESPNOPAGANTES;ADU_NOPAGANTES;EST_NOPAGANTES;NIN_NOPAGANTES;TOTAL_NOPAGANTES;TOTAL;TIPO_cat_cod
20260505;2012;02;Áncash;Sitio Arqueológico Pañamarca;06;Junio;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20260505;2012;02;Áncash;Sitio Arqueológico Pañamarca;07;Julio;0;Nacionales;0;0;0;0;0;8;10;139;157;0;0;0;0;0;0;0;0;0;157;Sitio Arqueológico
20260505;2012;02;Áncash;Sitio Arqueológico Pañamarca;07;Julio;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20260505;2012;02;Áncash;Sitio Arqueológico Pañamarca;08;Agosto;0;Nacionales;0;0;0;0;0;25;0;56;81;0;0;0;0;0;0;0;0;0;81;Sitio Arqueológico
20260505;2012;02;Áncash;Sitio Arqueológico Pañamarca;08;Agosto;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20260505;2012;02;Áncash;Sitio Arqueológico Pañamarca;09;Setiembre;0;Nacionales;0;0;0;0;0;39;47;179;265;0;0;0;0;0;0;0;0;0;265;Sitio Arqueológico
20260505;2012;02;Áncash;Sitio Arqueológico Pañamarca;09;Setiembre;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20260505;2012;02;Áncash;Sitio Arqueológico Pañamarca;10;Octubre;0;Nacionales;0;0;0;0;0;7;0;115;122;0;0;0;0;0;10;15;0;25;147;Sitio Arqueológico
20260505;2012;02;Áncash;Sitio Arqueológico Pañamarca;10;Octubre;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20260505;2012;02;Áncash;Sitio Arqueológico Pañamarca;11;Noviembre;0;Nacionales;0;0;0;0;0;10;4;342;356;0;0;0;0;0;0;0;0;0;356;Sitio Arqueológico
20260505;2012;02;Áncash;Sitio Arqueológico Pañamarca;11;Noviembre;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20260505;2012;02;Áncash;Sitio Arqueológico Pañamarca;12;Diciembre;0;Nacionales;0;0;0;0;0;1;19;72;92;0;0;0;0;0;0;0;0;0;92;Sitio Arqueológico
20260505;2012;02;Áncash;Sitio Arqueológico Pañamarca;12;Diciembre;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20260505;2012;03;Apurímac;Sitio Arqueológico Saihuite;01;Enero;0;Nacionales;0;0;0;0;0;23;54;27;104;0;0;0;0;0;0;0;0;0;104;Sitio Arqueológico
20260505;2012;03;Apurímac;Sitio Arqueológico Saihuite;01;Enero;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20260505;2012;03;Apurímac;Sitio Arqueológico Saihuite;02;Febrero;0;Nacionales;0;0;0;0;0;31;33;50;114;0;0;0;0;0;0;0;0;0;114;Sitio Arqueológico
20260505;2012;03;Apurímac;Sitio Arqueológico Saihuite;02;Febrero;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20260505;2012;03;Apurímac;Sitio Arqueológico Saihuite;03;Marzo;0;Nacionales;0;0;0;0;0;35;26;0;61;0;0;0;0;0;0;0;0;0;61;Sitio Arqueológico
20260505;2012;03;Apurímac;Sitio Arqueológico Saihuite;03;Marzo;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20260505;2012;03;Apurímac;Sitio Arqueológico Saihuite;04;Abril;0;Nacionales;0;0;0;0;0;61;71;93;225;0;0;0;0;0;9;0;0;9;234;Sitio Arqueológico
20260505;2012;03;Apurímac;Sitio Arqueológico Saihuite;04;Abril;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20260505;2012;03;Apurímac;Sitio Arqueológico Saihuite;05;Mayo;0;Nacionales;0;0;0;0;0;31;34;57;122;0;0;0;0;0;0;0;0;0;122;Sitio Arqueológico
20260505;2012;03;Apurímac;Sitio Arqueológico Saihuite;05;Mayo;1;Extranjeros;0;0;0;0;0;53;0;0;53;0;0;0;0;0;0;0;0;0;53;Sitio Arqueológico
20260505;2012;03;Apurímac;Sitio Arqueológico Saihuite;06;Junio;0;Nacionales;0;0;0;0;0;36;30;50;116;0;0;0;0;0;0;0;0;0;116;Sitio Arqueológico
20260505;2012;03;Apurímac;Sitio Arqueológico Saihuite;06;Junio;1;Extranjeros;0;0;0;0;0;49;0;0;49;0;0;0;0;0;0;0;0;0;49;Sitio Arqueológico
20260505;2012;03;Apurímac;Sitio Arqueológico Saihuite;07;Julio;0;Nacionales;0;0;0;0;0;51;86;100;237;0;0;0;0;0;1;34;0;35;272;Sitio Arqueológico
20260505;2012;03;Apurímac;Sitio Arqueológico Saihuite;07;Julio;1;Extranjeros;0;0;0;0;0;69;0;0;69;0;0;0;0;0;0;0;0;0;69;Sitio Arqueológico
20260505;2012;03;Apurímac;Sitio Arqueológico Saihuite;08;Agosto;0;Nacionales;0;0;0;0;0;65;68;50;183;0;0;0;0;0;20;62;0;82;265;Sitio Arqueológico
20260505;2012;03;Apurímac;Sitio Arqueológico Saihuite;08;Agosto;1;Extranjeros;0;0;0;0;0;65;0;0;65;0;0;0;0;0;0;0;0;0;65;Sitio Arqueológico
20260505;2012;03;Apurímac;Sitio Arqueológico Saihuite;09;Setiembre;0;Nacionales;0;0;0;0;0;57;88;100;245;0;0;0;0;0;30;0;0;30;275;Sitio Arqueológico
20260505;2012;03;Apurímac;Sitio Arqueológico Saihuite;09;Setiembre;1;Extranjeros;0;0;0;0;0;27;0;0;27;0;0;0;0;0;0;0;0;0;27;Sitio Arqueológico
20260505;2012;03;Apurímac;Sitio Arqueológico Saihuite;10;Octubre;0;Nacionales;0;0;0;0;0;45;34;0;79;0;0;0;0;0;80;0;0;80;159;Sitio Arqueológico
20260505;2012;03;Apurímac;Sitio Arqueológico Saihuite;10;Octubre;1;Extranjeros;0;0;0;0;0;53;10;0;63;0;0;0;0;0;0;0;0;0;63;Sitio Arqueológico
20260505;2012;03;Apurímac;Sitio Arqueológico Saihuite;11;Noviembre;0;Nacionales;0;0;0;0;0;50;45;70;165;0;0;0;0;0;43;156;0;199;364;Sitio Arqueológico
20260505;2012;03;Apurímac;Sitio Arqueológico Saihuite;11;Noviembre;1;Extranjeros;0;0;0;0;0;8;25;0;33;0;0;0;0;0;0;0;0;0;33;Sitio Arqueológico
